Name,Team,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,AVG,BB%,K%,OBP,SLG,OPS,wOBA,wRC+,EV,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Daz Cameron","OAK",72,66,11,6,2,0,3,7,6,5,0,18,1,0.166666666,0.069444444,0.25,0.236111111,0.333333333,0.569444444,0.2529598143365648,66.07968945495969,91.7521260579427,0.125,0.5,"Daz Cameron",18353,663662
"Weston Wilson","PHI",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,92.60199737548828,0.25,0.5,"Weston Wilson",19358,642215
"Tristan Gray","MIA",7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0.428571428,0,0,0,0,-100,92.83289337158203,0,0.5,"Tristan Gray",19877,656484
"Kody Clemens","PHI",54,52,13,4,5,1,3,8,10,2,0,12,0,0.25,0.037037037,0.222222222,0.277777777,0.557692307,0.835470084,0.35246531168619794,128.8129871950733,90.39060668945312,0.1,0.5,"Kody Clemens",20572,665019
"Trey Cabbage","HOU",55,53,14,8,5,0,1,9,7,2,0,15,0,0.264150943,0.036363636,0.272727272,0.29090909,0.415094339,0.706003429,0.306223464012146,98.84980286765173,92.53975533150337,0.15789474,0.5,"Trey Cabbage",21078,663550
"Livan Soto","CIN",3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333,0,0,0,0,-100,90.14492797851562,0,0.5,"Livan Soto",22471,670869
"Alek Thomas","ARI",18,17,3,1,1,0,1,2,4,1,0,5,0,0.176470588,0.055555555,0.277777777,0.222222222,0.411764705,0.633986927,0.272480782535341,74.53435524543616,91.07114664713542,0.08333333,0.5,"Alek Thomas",23792,677950
"Jhonkensy Noel","CLE",14,13,3,0,1,0,2,2,3,1,0,7,0,0.23076923,0.071428571,0.5,0.285714285,0.769230769,1.054945054,0.43465938738414217,188.0980511929178,96.81942749023438,0.33333333,0.5,"Jhonkensy Noel",24257,678877
"Daniel Schneemann","CLE",73,61,16,9,2,2,3,8,12,10,0,21,0,0.262295081,0.136986301,0.287671232,0.356164383,0.508196721,0.864361104,0.3671783674253176,141.85573680747456,90.50083705357143,0.11904762,0.5,"Daniel Schneemann",25180,682177
"Aaron Schunk","COL",4,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0.5,0,0,0,0,-100,85.2808837890625,0,0.5,"Aaron Schunk",25524,668845
"Angel Martínez","CLE",7,7,2,2,0,0,0,0,0,0,0,1,0,0.285714285,0,0.142857142,0.285714285,0.285714285,0.57142857,0.2530097109930856,63.620065400546835,90.04477945963542,0,0.5,"Angel Martinez",26540,682657
"Duke Ellis","CHW",4,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0.5,0,0,0,0,-100,86.86514282226562,0,0.5,"Duke Ellis",27543,668752
"Ryan Bliss","SEA",62,54,13,8,3,1,1,8,7,5,0,18,1,0.24074074,0.080645161,0.29032258,0.316666666,0.388888888,0.705555554,0.3119110802809397,106.1249379300645,89.9444939108456,0.07894737,0.5,"Ryan Bliss",29547,669208
"Colton Cowser","BAL",269,237,54,28,13,1,12,32,34,24,2,77,6,0.227848101,0.08921933,0.286245353,0.312267657,0.443037974,0.755305631,0.3263372606998972,114.05803318182689,91.54172694830247,0.15432099,0.5,"Colton Cowser",29591,681297
"William Contreras","MIL",374,339,99,68,20,1,10,59,51,31,1,70,2,0.292035398,0.0828877,0.187165775,0.352941176,0.445427728,0.798368904,0.3482403055272857,126.23431964882627,92.39867533440959,0.08856089,0.49815498,"William Contreras",20503,661388
"Brandon Nimmo","NYM",346,291,73,42,16,2,13,54,52,44,1,82,11,0.250859106,0.12716763,0.236994219,0.369942196,0.453608247,0.823550443,0.36262696860493093,140.90620701604627,92.50214002691388,0.11961722,0.49760766,"Brandon Nimmo",12927,607043
"Michael Toglia","COL",147,132,24,12,1,2,9,19,25,11,0,48,1,0.181818181,0.074829931,0.326530612,0.244897959,0.424242424,0.669140383,0.28577406552373147,68.67061908497197,92.1323522808908,0.16091954,0.49425287,"Michael Toglia",25845,669911
"Teoscar Hernández","LAD",355,323,82,46,17,1,18,44,58,27,1,101,3,0.253869969,0.076056338,0.284507042,0.31638418,0.47987616,0.79626034,0.3430966560968934,125.3675795476808,91.71187464966367,0.15625,0.49107143,"Teoscar Hernandez",13066,606192
"Corey Seager","TEX",310,273,71,49,7,0,15,35,37,34,7,56,2,0.26007326,0.109677419,0.180645161,0.34516129,0.45054945,0.79571074,0.34098889902479973,119.45141336337572,91.38980074541284,0.15137615,0.49082569,"Corey Seager",13624,608369
"Tyler O'Neill","BOS",247,214,55,29,10,0,16,44,28,30,5,80,2,0.257009345,0.121457489,0.323886639,0.35222672,0.528037383,0.880264103,0.37222672173799565,137.14594520035814,91.46396846064815,0.16296296,0.48888889,"Tyler O'Neill",15711,641933
"Yandy Díaz","TBR",372,341,92,68,16,1,7,31,40,27,0,54,2,0.269794721,0.072580645,0.14516129,0.325268817,0.384164222,0.709433039,0.313371802209526,107.41658029484627,92.49680150261324,0.05882353,0.48788927,"Yandy Diaz",16578,650490
"Bobby Witt Jr.","KCR",381,347,108,64,22,9,13,66,55,27,4,64,3,0.311239193,0.070866141,0.167979002,0.362204724,0.538904899,0.901109623,0.38133912820082444,145.36222183818265,92.5406481380662,0.14634146,0.48780488,"Bobby Witt Jr.",25764,677951
"Ryan Mountcastle","BAL",325,300,82,49,21,1,11,43,40,20,0,68,1,0.273333333,0.061538461,0.209230769,0.316923076,0.46,0.776923076,0.3346575166628911,119.75960515336624,91.51879155585107,0.09745763,0.48728814,"Ryan Mountcastle",18373,663624
"Logan O'Hoppe","LAA",272,250,70,45,12,1,12,37,38,17,0,69,3,0.28,0.0625,0.25367647,0.332103321,0.48,0.812103321,0.35166675908099243,127.25885042315873,90.81114783653847,0.10928962,0.4863388,"Logan O'Hoppe",24729,681351
"Nolan Jones","COL",166,143,27,16,7,1,3,17,13,21,2,57,1,0.188811188,0.126506024,0.343373493,0.295180722,0.314685314,0.609866036,0.272278351754677,59.46068472473145,89.06292654454023,0.05747126,0.48275862,"Nolan Jones",20529,666134
"Paul Goldschmidt","STL",354,321,73,50,12,0,11,40,33,29,1,101,2,0.22741433,0.081920903,0.285310734,0.295454545,0.367601246,0.663055791,0.2932808742224321,91.32911738843393,91.47336972031964,0.09459459,0.48198198,"Paul Goldschmidt",9218,502671
"Christian Walker","ARI",363,321,83,48,17,0,18,50,55,33,1,89,4,0.258566978,0.09090909,0.245179063,0.330578512,0.479750778,0.81032929,0.3484865351276503,126.40326743153791,91.18262954905063,0.15611814,0.48101266,"Christian Walker",13419,572233
"J.T. Realmuto","PHI",223,207,54,38,8,1,7,28,20,12,0,60,3,0.260869565,0.053811659,0.269058295,0.30941704,0.410628019,0.720045059,0.31510904284336105,103.31979803342064,89.39012011054422,0.10810811,0.47972973,"J.T. Realmuto",11739,592663
"Manny Machado","SDP",333,309,82,59,13,0,10,38,45,23,5,72,0,0.265372168,0.069069069,0.216216216,0.315315315,0.404530744,0.719846059,0.31021939090839246,105.8113677928539,92.072265625,0.07983193,0.4789916,"Manny Machado",11493,592518
"Jordan Westburg","BAL",324,299,84,49,17,5,13,41,48,17,0,71,6,0.280936454,0.052469135,0.219135802,0.331269349,0.50167224,0.832941589,0.3584829644522062,136.0863270630192,91.50067378548034,0.10434783,0.47826087,"Jordan Westburg",27815,676059
"Christian Yelich","MIL",259,228,75,55,9,3,8,36,36,28,3,50,1,0.328947368,0.108108108,0.193050193,0.403100775,0.5,0.903100775,0.3897714930422166,154.5766153925625,91.00059035134181,0.06666667,0.47777778,"Christian Yelich",11477,592885
"Carlos Correa","MIN",279,245,76,49,15,2,10,44,41,27,2,49,2,0.310204081,0.096774193,0.17562724,0.377697841,0.510204081,0.887901922,0.38008765919484955,149.89941037213822,91.402119140625,0.09950249,0.47761194,"Carlos Correa",14162,621043
